tweet_id,user_id,tweet_timestamp,keyword,valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,sentiment,emotion
1.22196E+18,13752142,2020-01-27 16-55-15,wuhan,0.409,0.468,0.53,0.255,0.462,negative,anger
1.22196E+18,21761292,2020-01-27 17-13-01,wuhan,0.464,0.604,0.428,0.31,0.448,negative,fear
1.22197E+18,545145545,2020-01-27 17-26-39,wuhan,0.336,0.574,0.545,0.186,0.473,negative,fear
1.22197E+18,1.03169E+18,2020-01-27 17-38-26,wuhan,0.501,0.473,0.366,0.294,0.367,neutral or mixed,no specific emotion
1.22197E+18,43748336,2020-01-27 17-40-05,wuhan,0.394,0.633,0.47,0.326,0.47,negative,fear
1.22197E+18,9.7919E+17,2020-01-27 17-47-42,wuhan,0.46,0.344,0.382,0.343,0.472,negative,sadness
1.22198E+18,31473811,2020-01-27 17-57-58,wuhan,0.451,0.453,0.435,0.336,0.451,negative,fear
1.22198E+18,1.13883E+18,2020-01-27 17-58-21,wuhan,0.496,0.339,0.392,0.352,0.346,neutral or mixed,no specific emotion
1.22198E+18,77897342,2020-01-27 18-01-36,wuhan,0.418,0.487,0.38,0.24,0.431,negative,fear
1.22198E+18,2654356639,2020-01-27 18-03-27,wuhan,0.456,0.576,0.464,0.308,0.44,negative,fear
1.22207E+18,41390750,2020-01-28 00-03-49,wuhan,0.492,0.486,0.455,0.33,0.412,neutral or mixed,no specific emotion
1.22207E+18,7.4326E+17,2020-01-28 00-05-56,wuhan,0.671,0.329,0.319,0.481,0.283,positive,happiness
1.22207E+18,7.4326E+17,2020-01-28 00-05-56,nCoV,0.671,0.329,0.319,0.481,0.283,positive,happiness
1.22207E+18,241110794,2020-01-28 00-06-34,wuhan,0.509,0.356,0.369,0.368,0.351,neutral or mixed,no specific emotion
1.22207E+18,2285811937,2020-01-28 00-07-12,corona,0.335,0.548,0.489,0.238,0.488,negative,fear
1.22207E+18,1.04294E+18,2020-01-28 00-10-04,wuhan,0.457,0.374,0.38,0.344,0.408,negative,sadness
1.22207E+18,1.0607E+18,2020-01-28 00-12-30,wuhan,0.348,0.502,0.472,0.238,0.529,negative,sadness
1.22207E+18,15122401,2020-01-28 00-13-50,wuhan,0.431,0.519,0.464,0.298,0.411,negative,fear
1.22207E+18,832170559,2020-01-28 00-18-53,corona,0.424,0.446,0.452,0.263,0.356,negative,anger
1.22207E+18,1.08136E+18,2020-01-28 00-21-29,wuhan,0.522,0.449,0.371,0.327,0.36,positive,happiness
1.22262E+18,20334002,2020-01-29 12-24-08,corona,0.456,0.442,0.461,0.315,0.357,negative,anger
