date,value,location
2020-03-02,-91,Northwest Territories
2020-03-03,10,British Columbia
2020-03-04,-31,Northwest Territories
2020-03-05,64,Saskatchewan
2020-03-06,0,Manitoba
2020-03-07,0,New Brunswick
2020-03-08,2,Quebec
2020-03-09,28,Yukon
2020-03-10,56,British Columbia
2020-03-11,97,British Columbia
2020-03-12,0,Yukon
2020-03-13,0,Quebec
2020-03-14,-7,New Brunswick
2020-03-15,6,Prince Edward Island
2020-03-16,38,Saskatchewan
2020-03-17,0,New Brunswick
2020-03-18,-48,Saskatchewan
2020-03-19,0,Prince Edward Island
2020-03-20,-53,Alberta
2020-03-21,88,Newfoundland and Labrador
2020-03-22,0,Newfoundland and Labrador
2020-03-23,82,Nunavut
2020-03-24,35,Ontario
2020-03-25,0,Saskatchewan
2020-03-26,-97,Yukon
2020-03-27,22,Northwest Territories
2020-03-28,0,New Brunswick
2020-03-29,0,Saskatchewan
2020-03-30,-82,Nova Scotia
2020-03-31,0,Manitoba
2020-04-01,0,British Columbia
2020-04-02,0,Yukon
2020-04-03,70,Newfoundland and Labrador
2020-04-04,0,Nunavut
2020-04-05,59,Newfoundland and Labrador
2020-04-06,0,Nova Scotia
2020-04-07,13,Ontario
2020-04-08,0,Alberta
2020-04-09,31,Nova Scotia
2020-04-10,31,Yukon
2020-04-11,0,Quebec
2020-04-12,-57,Prince Edward Island
2020-04-13,0,Prince Edward Island
2020-04-14,-4,Prince Edward Island
2020-04-15,10,Nunavut
2020-04-16,83,New Brunswick
2020-04-17,-31,New Brunswick
2020-04-18,0,Quebec
2020-04-19,82,Yukon
2020-04-20,54,Alberta
2020-04-21,0,Newfoundland and Labrador
2020-04-22,0,Yukon
2020-04-23,-78,Nunavut
2020-04-24,0,Nova Scotia
2020-04-25,-94,New Brunswick
2020-04-26,0,Ontario
2020-04-27,0,Yukon
2020-04-28,-9,Quebec
2020-04-29,0,New Brunswick
2020-04-30,93,Saskatchewan
2020-05-01,0,Yukon
2020-05-02,0,Northwest Territories
2020-05-03,38,Nunavut
2020-05-04,-64,British Columbia
2020-05-05,0,British Columbia
2020-05-06,-66,Nunavut
2020-05-07,-75,Northwest Territories
2020-05-08,38,Nunavut
2020-05-09,66,Ontario
2020-05-10,0,Newfoundland and Labrador
2020-05-11,74,Alberta
2020-05-12,-41,British Columbia
2020-05-13,0,Northwest Territories
2020-05-14,65,Nunavut
2020-05-15,68,New Brunswick
2020-05-16,0,Alberta
2020-05-17,0,New Brunswick
2020-05-18,-46,British Columbia
2020-05-19,0,British Columbia
2020-05-20,-27,Newfoundland and Labrador
2020-05-21,0,British Columbia
2020-05-22,0,Alberta
2020-05-23,0,Manitoba
2020-05-24,49,Quebec
2020-05-25,0,Yukon
2020-05-26,0,Manitoba
2020-05-27,0,Prince Edward Island
2020-05-28,14,Northwest Territories
2020-05-29,0,Nova Scotia
2020-05-30,18,Northwest Territories
2020-05-31,-57,British Columbia
2020-06-01,25,Newfoundland and Labrador
2020-06-02,0,Newfoundland and Labrador
2020-06-03,0,British Columbia
2020-06-04,0,Northwest Territories
2020-06-05,0,Quebec
2020-06-06,92,Newfoundland and Labrador
2020-06-07,19,Yukon
2020-06-08,-63,Newfoundland and Labrador
2020-06-09,0,Saskatchewan
2020-06-10,-87,Alberta
2020-06-11,0,Newfoundland and Labrador
2020-06-12,0,Newfoundland and Labrador
2020-06-13,84,Northwest Territories
2020-06-14,0,Nunavut
2020-06-15,0,Newfoundland and Labrador
2020-06-16,0,British Columbia
2020-06-17,0,British Columbia
2020-06-18,72,Saskatchewan
2020-06-19,0,Northwest Territories
2020-06-20,0,Saskatchewan
2020-06-21,0,Alberta
2020-06-22,27,Newfoundland and Labrador
2020-06-23,0,Ontario
2020-06-24,0,Yukon
2020-06-25,0,Nova Scotia
2020-06-26,65,Saskatchewan
2020-06-27,0,Saskatchewan
2020-06-28,-26,Prince Edward Island
2020-06-29,5,Nunavut
2020-06-30,0,Nunavut
2020-07-01,0,Yukon
2020-07-02,0,Manitoba
2020-07-03,14,Alberta
2020-07-04,0,Nunavut
2020-07-05,46,Newfoundland and Labrador
2020-07-06,0,Saskatchewan
2020-07-07,0,Quebec
2020-07-08,-33,Prince Edward Island
2020-07-09,0,New Brunswick
2020-07-10,-52,Manitoba
2020-07-11,0,New Brunswick
2020-07-12,-71,Quebec
2020-07-13,72,Saskatchewan
2020-07-14,0,Northwest Territories
2020-07-15,83,Manitoba
2020-07-16,-80,Newfoundland and Labrador
2020-07-17,0,New Brunswick
2020-07-18,0,Quebec
2020-07-19,0,Alberta
2020-07-20,0,Newfoundland and Labrador
2020-07-21,0,Saskatchewan
2020-07-22,0,Nunavut
2020-07-23,0,British Columbia
2020-07-24,0,Newfoundland and Labrador
2020-07-25,94,Newfoundland and Labrador
2020-07-26,0,Quebec
2020-07-27,0,Prince Edward Island
2020-07-28,0,Newfoundland and Labrador
2020-07-29,-100,Saskatchewan
2020-07-30,-34,Alberta
2020-07-31,-88,Prince Edward Island
2020-08-01,0,Alberta
2020-08-02,0,Quebec
2020-08-03,0,Nunavut
2020-08-04,0,Quebec
2020-08-05,0,Yukon
2020-08-06,41,Newfoundland and Labrador
2020-08-07,-6,Quebec
2020-08-08,87,Manitoba
2020-08-09,0,Northwest Territories
2020-08-10,-17,Yukon
