date,value,location
2020-03-02,0,Alberta
2020-03-03,0,Nova Scotia
2020-03-04,0,Ontario
2020-03-05,0,Saskatchewan
2020-03-06,-75,Manitoba
2020-03-07,0,Ontario
2020-03-08,30,Nova Scotia
2020-03-09,-83,New Brunswick
2020-03-10,-34,New Brunswick
2020-03-11,14,Nunavut
2020-03-12,2,Northwest Territories
2020-03-13,9,Northwest Territories
2020-03-14,0,Northwest Territories
2020-03-15,0,British Columbia
2020-03-16,33,Nova Scotia
2020-03-17,0,Quebec
2020-03-18,-48,Newfoundland and Labrador
2020-03-19,0,Ontario
2020-03-20,0,Ontario
2020-03-21,0,Saskatchewan
2020-03-22,0,Northwest Territories
2020-03-23,-81,Alberta
2020-03-24,77,Prince Edward Island
2020-03-25,58,Alberta
2020-03-26,0,Ontario
2020-03-27,-73,Alberta
2020-03-28,0,Ontario
2020-03-29,0,Ontario
2020-03-30,6,Newfoundland and Labrador
2020-03-31,22,Alberta
2020-04-01,71,Yukon
2020-04-02,0,Saskatchewan
2020-04-03,-41,Manitoba
2020-04-04,0,Quebec
2020-04-05,-22,New Brunswick
2020-04-06,-96,Newfoundland and Labrador
2020-04-07,71,British Columbia
2020-04-08,0,Newfoundland and Labrador
2020-04-09,0,Newfoundland and Labrador
2020-04-10,31,New Brunswick
2020-04-11,0,Quebec
2020-04-12,-13,Manitoba
2020-04-13,55,Ontario
2020-04-14,0,Ontario
2020-04-15,-20,Yukon
2020-04-16,0,Nunavut
2020-04-17,8,Nunavut
2020-04-18,0,Newfoundland and Labrador
2020-04-19,0,Nova Scotia
2020-04-20,0,Alberta
2020-04-21,86,British Columbia
2020-04-22,74,Yukon
2020-04-23,0,Prince Edward Island
2020-04-24,0,Quebec
2020-04-25,0,New Brunswick
2020-04-26,0,Manitoba
2020-04-27,0,Quebec
2020-04-28,66,Saskatchewan
2020-04-29,57,Newfoundland and Labrador
2020-04-30,0,Quebec
2020-05-01,0,New Brunswick
2020-05-02,46,New Brunswick
2020-05-03,0,Alberta
2020-05-04,0,Nunavut
2020-05-05,-73,Newfoundland and Labrador
2020-05-06,0,Saskatchewan
2020-05-07,-5,British Columbia
2020-05-08,0,Newfoundland and Labrador
2020-05-09,-68,Manitoba
2020-05-10,44,Prince Edward Island
2020-05-11,4,Saskatchewan
2020-05-12,0,Ontario
2020-05-13,0,Yukon
2020-05-14,49,Nunavut
2020-05-15,-29,Prince Edward Island
2020-05-16,34,Saskatchewan
2020-05-17,0,Saskatchewan
2020-05-18,-58,Ontario
2020-05-19,0,Alberta
2020-05-20,0,Saskatchewan
2020-05-21,0,Quebec
2020-05-22,-24,New Brunswick
2020-05-23,0,Saskatchewan
2020-05-24,33,Manitoba
2020-05-25,6,Nova Scotia
2020-05-26,-25,British Columbia
2020-05-27,0,Northwest Territories
2020-05-28,0,New Brunswick
2020-05-29,-78,Northwest Territories
2020-05-30,42,Northwest Territories
2020-05-31,0,British Columbia
2020-06-01,0,New Brunswick
2020-06-02,-23,British Columbia
2020-06-03,73,Alberta
2020-06-04,80,Nunavut
2020-06-05,0,Newfoundland and Labrador
2020-06-06,-87,Nova Scotia
2020-06-07,0,Prince Edward Island
2020-06-08,52,Manitoba
2020-06-09,0,New Brunswick
2020-06-10,0,Saskatchewan
2020-06-11,0,Alberta
2020-06-12,55,Saskatchewan
2020-06-13,84,Saskatchewan
2020-06-14,0,Newfoundland and Labrador
2020-06-15,-28,Yukon
2020-06-16,0,Prince Edward Island
2020-06-17,0,Manitoba
2020-06-18,-30,Quebec
2020-06-19,0,Nunavut
2020-06-20,81,Northwest Territories
2020-06-21,-59,Quebec
2020-06-22,0,Newfoundland and Labrador
2020-06-23,-9,Yukon
2020-06-24,0,Quebec
2020-06-25,0,British Columbia
2020-06-26,0,Alberta
2020-06-27,0,Yukon
2020-06-28,0,Quebec
2020-06-29,91,New Brunswick
2020-06-30,0,Nunavut
2020-07-01,80,Yukon
2020-07-02,56,Nova Scotia
2020-07-03,-40,Nunavut
2020-07-04,48,Quebec
2020-07-05,-53,Manitoba
2020-07-06,0,Alberta
2020-07-07,-6,Ontario
2020-07-08,0,Newfoundland and Labrador
2020-07-09,-85,Quebec
2020-07-10,-58,Quebec
2020-07-11,38,Alberta
2020-07-12,-79,Manitoba
2020-07-13,0,Nunavut
2020-07-14,50,Nunavut
2020-07-15,0,Saskatchewan
2020-07-16,0,Alberta
2020-07-17,0,Nova Scotia
